userId	geneSymbol	geneName	entrezgene	gLink
GNGT2	GNGT2	G protein subunit gamma transducin 2	2793	https://www.ncbi.nlm.nih.gov/gene/?term=2793
AP3M2	AP3M2	adaptor related protein complex 3 subunit mu 2	10947	https://www.ncbi.nlm.nih.gov/gene/?term=10947
VIPR2	VIPR2	vasoactive intestinal peptide receptor 2	7434	https://www.ncbi.nlm.nih.gov/gene/?term=7434
IL12RB2	IL12RB2	interleukin 12 receptor subunit beta 2	3595	https://www.ncbi.nlm.nih.gov/gene/?term=3595
PDE4D	PDE4D	phosphodiesterase 4D	5144	https://www.ncbi.nlm.nih.gov/gene/?term=5144
ADIPOR2	ADIPOR2	adiponectin receptor 2	79602	https://www.ncbi.nlm.nih.gov/gene/?term=79602
POLR3E	POLR3E	RNA polymerase III subunit E	55718	https://www.ncbi.nlm.nih.gov/gene/?term=55718
GRK5	GRK5	G protein-coupled receptor kinase 5	2869	https://www.ncbi.nlm.nih.gov/gene/?term=2869
NR4A3	NR4A3	nuclear receptor subfamily 4 group A member 3	8013	https://www.ncbi.nlm.nih.gov/gene/?term=8013
CTH	CTH	cystathionine gamma-lyase	1491	https://www.ncbi.nlm.nih.gov/gene/?term=1491
HNRNPUL1	HNRNPUL1	heterogeneous nuclear ribonucleoprotein U like 1	11100	https://www.ncbi.nlm.nih.gov/gene/?term=11100
IL21R	IL21R	interleukin 21 receptor	50615	https://www.ncbi.nlm.nih.gov/gene/?term=50615
B3GNT7	B3GNT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	93010	https://www.ncbi.nlm.nih.gov/gene/?term=93010
PAPSS2	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	9060	https://www.ncbi.nlm.nih.gov/gene/?term=9060
CHRNE	CHRNE	cholinergic receptor nicotinic epsilon subunit	1145	https://www.ncbi.nlm.nih.gov/gene/?term=1145
CD7	CD7	CD7 molecule	924	https://www.ncbi.nlm.nih.gov/gene/?term=924
GFPT2	GFPT2	glutamine-fructose-6-phosphate transaminase 2	9945	https://www.ncbi.nlm.nih.gov/gene/?term=9945
DERL1	DERL1	derlin 1	79139	https://www.ncbi.nlm.nih.gov/gene/?term=79139
SLC1A4	SLC1A4	solute carrier family 1 member 4	6509	https://www.ncbi.nlm.nih.gov/gene/?term=6509
PDE4B	PDE4B	phosphodiesterase 4B	5142	https://www.ncbi.nlm.nih.gov/gene/?term=5142
PEX14	PEX14	peroxisomal biogenesis factor 14	5195	https://www.ncbi.nlm.nih.gov/gene/?term=5195
MAP3K8	MAP3K8	mitogen-activated protein kinase kinase kinase 8	1326	https://www.ncbi.nlm.nih.gov/gene/?term=1326
CNOT2	CNOT2	CCR4-NOT transcription complex subunit 2	4848	https://www.ncbi.nlm.nih.gov/gene/?term=4848
MCM6	MCM6	minichromosome maintenance complex component 6	4175	https://www.ncbi.nlm.nih.gov/gene/?term=4175
AFMID	AFMID	arylformamidase	125061	https://www.ncbi.nlm.nih.gov/gene/?term=125061
STRAP	STRAP	serine/threonine kinase receptor associated protein	11171	https://www.ncbi.nlm.nih.gov/gene/?term=11171
ERN1	ERN1	endoplasmic reticulum to nucleus signaling 1	2081	https://www.ncbi.nlm.nih.gov/gene/?term=2081
PDPR	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit	55066	https://www.ncbi.nlm.nih.gov/gene/?term=55066
TNFAIP3	TNFAIP3	TNF alpha induced protein 3	7128	https://www.ncbi.nlm.nih.gov/gene/?term=7128
F2RL2	F2RL2	coagulation factor II thrombin receptor like 2	2151	https://www.ncbi.nlm.nih.gov/gene/?term=2151
LRIG1	LRIG1	leucine rich repeats and immunoglobulin like domains 1	26018	https://www.ncbi.nlm.nih.gov/gene/?term=26018
ST3GAL1	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	6482	https://www.ncbi.nlm.nih.gov/gene/?term=6482
GNA15	GNA15	G protein subunit alpha 15	2769	https://www.ncbi.nlm.nih.gov/gene/?term=2769
ABLIM1	ABLIM1	actin binding LIM protein 1	3983	https://www.ncbi.nlm.nih.gov/gene/?term=3983
MED29	MED29	mediator complex subunit 29	55588	https://www.ncbi.nlm.nih.gov/gene/?term=55588
PIGT	PIGT	phosphatidylinositol glycan anchor biosynthesis class T	51604	https://www.ncbi.nlm.nih.gov/gene/?term=51604
PGAP1	PGAP1	post-GPI attachment to proteins 1	80055	https://www.ncbi.nlm.nih.gov/gene/?term=80055
DNTT	DNTT	DNA nucleotidylexotransferase	1791	https://www.ncbi.nlm.nih.gov/gene/?term=1791
PARD6A	PARD6A	par-6 family cell polarity regulator alpha	50855	https://www.ncbi.nlm.nih.gov/gene/?term=50855
CABLES1	CABLES1	Cdk5 and Abl enzyme substrate 1	91768	https://www.ncbi.nlm.nih.gov/gene/?term=91768
JMY	JMY	junction mediating and regulatory protein, p53 cofactor	133746	https://www.ncbi.nlm.nih.gov/gene/?term=133746
MVD	MVD	mevalonate diphosphate decarboxylase	4597	https://www.ncbi.nlm.nih.gov/gene/?term=4597
CBLB	CBLB	Cbl proto-oncogene B	868	https://www.ncbi.nlm.nih.gov/gene/?term=868
INPP4A	INPP4A	inositol polyphosphate-4-phosphatase type I A	3631	https://www.ncbi.nlm.nih.gov/gene/?term=3631
PSTK	PSTK	phosphoseryl-tRNA kinase	118672	https://www.ncbi.nlm.nih.gov/gene/?term=118672
SLC38A1	SLC38A1	solute carrier family 38 member 1	81539	https://www.ncbi.nlm.nih.gov/gene/?term=81539
CD86	CD86	CD86 molecule	942	https://www.ncbi.nlm.nih.gov/gene/?term=942
MALT1	MALT1	MALT1 paracaspase	10892	https://www.ncbi.nlm.nih.gov/gene/?term=10892
PHYH	PHYH	phytanoyl-CoA 2-hydroxylase	5264	https://www.ncbi.nlm.nih.gov/gene/?term=5264
PRKCE	PRKCE	protein kinase C epsilon	5581	https://www.ncbi.nlm.nih.gov/gene/?term=5581
REL	REL	REL proto-oncogene, NF-kB subunit	5966	https://www.ncbi.nlm.nih.gov/gene/?term=5966
GNB5	GNB5	G protein subunit beta 5	10681	https://www.ncbi.nlm.nih.gov/gene/?term=10681
BCL2L11	BCL2L11	BCL2 like 11	10018	https://www.ncbi.nlm.nih.gov/gene/?term=10018
DUSP4	DUSP4	dual specificity phosphatase 4	1846	https://www.ncbi.nlm.nih.gov/gene/?term=1846
CHST2	CHST2	carbohydrate sulfotransferase 2	9435	https://www.ncbi.nlm.nih.gov/gene/?term=9435
ISG20	ISG20	interferon stimulated exonuclease gene 20	3669	https://www.ncbi.nlm.nih.gov/gene/?term=3669
ZNF394	ZNF394	zinc finger protein 394	84124	https://www.ncbi.nlm.nih.gov/gene/?term=84124
HAS1	HAS1	hyaluronan synthase 1	3036	https://www.ncbi.nlm.nih.gov/gene/?term=3036
CERK	CERK	ceramide kinase	64781	https://www.ncbi.nlm.nih.gov/gene/?term=64781
GNA13	GNA13	G protein subunit alpha 13	10672	https://www.ncbi.nlm.nih.gov/gene/?term=10672
HNRNPA3	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3	220988	https://www.ncbi.nlm.nih.gov/gene/?term=220988
PRKCH	PRKCH	protein kinase C eta	5583	https://www.ncbi.nlm.nih.gov/gene/?term=5583
NR3C1	NR3C1	nuclear receptor subfamily 3 group C member 1	2908	https://www.ncbi.nlm.nih.gov/gene/?term=2908
GALC	GALC	galactosylceramidase	2581	https://www.ncbi.nlm.nih.gov/gene/?term=2581
STAT4	STAT4	signal transducer and activator of transcription 4	6775	https://www.ncbi.nlm.nih.gov/gene/?term=6775
CDKN1B	CDKN1B	cyclin dependent kinase inhibitor 1B	1027	https://www.ncbi.nlm.nih.gov/gene/?term=1027
SMARCA2	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	6595	https://www.ncbi.nlm.nih.gov/gene/?term=6595
GALNT10	GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	55568	https://www.ncbi.nlm.nih.gov/gene/?term=55568
PSMD5	PSMD5	proteasome 26S subunit, non-ATPase 5	5711	https://www.ncbi.nlm.nih.gov/gene/?term=5711
SKI	SKI	SKI proto-oncogene	6497	https://www.ncbi.nlm.nih.gov/gene/?term=6497
NFKBIB	NFKBIB	NFKB inhibitor beta	4793	https://www.ncbi.nlm.nih.gov/gene/?term=4793
GGA2	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	23062	https://www.ncbi.nlm.nih.gov/gene/?term=23062
CAMP	CAMP	cathelicidin antimicrobial peptide	820	https://www.ncbi.nlm.nih.gov/gene/?term=820
PARD6G	PARD6G	par-6 family cell polarity regulator gamma	84552	https://www.ncbi.nlm.nih.gov/gene/?term=84552
CCR4	CCR4	C-C motif chemokine receptor 4	1233	https://www.ncbi.nlm.nih.gov/gene/?term=1233
PMEPA1	PMEPA1	prostate transmembrane protein, androgen induced 1	56937	https://www.ncbi.nlm.nih.gov/gene/?term=56937
CDK5R1	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1	8851	https://www.ncbi.nlm.nih.gov/gene/?term=8851
ZBTB32	ZBTB32	zinc finger and BTB domain containing 32	27033	https://www.ncbi.nlm.nih.gov/gene/?term=27033
ARHGEF7	ARHGEF7	Rho guanine nucleotide exchange factor 7	8874	https://www.ncbi.nlm.nih.gov/gene/?term=8874
SRSF7	SRSF7	serine and arginine rich splicing factor 7	6432	https://www.ncbi.nlm.nih.gov/gene/?term=6432
GNG2	GNG2	G protein subunit gamma 2	54331	https://www.ncbi.nlm.nih.gov/gene/?term=54331
AP4B1	AP4B1	adaptor related protein complex 4 subunit beta 1	10717	https://www.ncbi.nlm.nih.gov/gene/?term=10717
RFC1	RFC1	replication factor C subunit 1	5981	https://www.ncbi.nlm.nih.gov/gene/?term=5981
STIM1	STIM1	stromal interaction molecule 1	6786	https://www.ncbi.nlm.nih.gov/gene/?term=6786
ATP8A1	ATP8A1	ATPase phospholipid transporting 8A1	10396	https://www.ncbi.nlm.nih.gov/gene/?term=10396
ORAI1	ORAI1	ORAI calcium release-activated calcium modulator 1	84876	https://www.ncbi.nlm.nih.gov/gene/?term=84876
BCAS2	BCAS2	BCAS2, pre-mRNA processing factor	10286	https://www.ncbi.nlm.nih.gov/gene/?term=10286
LSS	LSS	lanosterol synthase	4047	https://www.ncbi.nlm.nih.gov/gene/?term=4047
ARF6	ARF6	ADP ribosylation factor 6	382	https://www.ncbi.nlm.nih.gov/gene/?term=382
ASB6	ASB6	ankyrin repeat and SOCS box containing 6	140459	https://www.ncbi.nlm.nih.gov/gene/?term=140459
COPA	COPA	coatomer protein complex subunit alpha	1314	https://www.ncbi.nlm.nih.gov/gene/?term=1314
TGIF1	TGIF1	TGFB induced factor homeobox 1	7050	https://www.ncbi.nlm.nih.gov/gene/?term=7050
RASSF5	RASSF5	Ras association domain family member 5	83593	https://www.ncbi.nlm.nih.gov/gene/?term=83593
SLC7A5	SLC7A5	solute carrier family 7 member 5	8140	https://www.ncbi.nlm.nih.gov/gene/?term=8140
NF2	NF2	neurofibromin 2	4771	https://www.ncbi.nlm.nih.gov/gene/?term=4771
MPHOSPH6	MPHOSPH6	M-phase phosphoprotein 6	10200	https://www.ncbi.nlm.nih.gov/gene/?term=10200
PDCD1	PDCD1	programmed cell death 1	5133	https://www.ncbi.nlm.nih.gov/gene/?term=5133
GXYLT1	GXYLT1	glucoside xylosyltransferase 1	283464	https://www.ncbi.nlm.nih.gov/gene/?term=283464
MEF2D	MEF2D	myocyte enhancer factor 2D	4209	https://www.ncbi.nlm.nih.gov/gene/?term=4209
VAV2	VAV2	vav guanine nucleotide exchange factor 2	7410	https://www.ncbi.nlm.nih.gov/gene/?term=7410
BET1L	BET1L	Bet1 golgi vesicular membrane trafficking protein like	51272	https://www.ncbi.nlm.nih.gov/gene/?term=51272
MAP3K14	MAP3K14	mitogen-activated protein kinase kinase kinase 14	9020	https://www.ncbi.nlm.nih.gov/gene/?term=9020
RGS1	RGS1	regulator of G protein signaling 1	5996	https://www.ncbi.nlm.nih.gov/gene/?term=5996
SEC14L2	SEC14L2	SEC14 like lipid binding 2	23541	https://www.ncbi.nlm.nih.gov/gene/?term=23541
FOXO1	FOXO1	forkhead box O1	2308	https://www.ncbi.nlm.nih.gov/gene/?term=2308
SLCO4A1	SLCO4A1	solute carrier organic anion transporter family member 4A1	28231	https://www.ncbi.nlm.nih.gov/gene/?term=28231
KIR2DL4	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4	3805	https://www.ncbi.nlm.nih.gov/gene/?term=3805
NFATC1	NFATC1	nuclear factor of activated T cells 1	4772	https://www.ncbi.nlm.nih.gov/gene/?term=4772
PRKAR2A	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha	5576	https://www.ncbi.nlm.nih.gov/gene/?term=5576
CTLA4	CTLA4	cytotoxic T-lymphocyte associated protein 4	1493	https://www.ncbi.nlm.nih.gov/gene/?term=1493
SIK2	SIK2	salt inducible kinase 2	23235	https://www.ncbi.nlm.nih.gov/gene/?term=23235
IL12RB1	IL12RB1	interleukin 12 receptor subunit beta 1	3594	https://www.ncbi.nlm.nih.gov/gene/?term=3594
TACC1	TACC1	transforming acidic coiled-coil containing protein 1	6867	https://www.ncbi.nlm.nih.gov/gene/?term=6867
RBM39	RBM39	RNA binding motif protein 39	9584	https://www.ncbi.nlm.nih.gov/gene/?term=9584
ITGAE	ITGAE	integrin subunit alpha E	3682	https://www.ncbi.nlm.nih.gov/gene/?term=3682
GNAL	GNAL	G protein subunit alpha L	2774	https://www.ncbi.nlm.nih.gov/gene/?term=2774
SUN2	SUN2	Sad1 and UNC84 domain containing 2	25777	https://www.ncbi.nlm.nih.gov/gene/?term=25777
SESN2	SESN2	sestrin 2	83667	https://www.ncbi.nlm.nih.gov/gene/?term=83667
INPP5D	INPP5D	inositol polyphosphate-5-phosphatase D	3635	https://www.ncbi.nlm.nih.gov/gene/?term=3635
ITPR1	ITPR1	inositol 1,4,5-trisphosphate receptor type 1	3708	https://www.ncbi.nlm.nih.gov/gene/?term=3708
DUSP5	DUSP5	dual specificity phosphatase 5	1847	https://www.ncbi.nlm.nih.gov/gene/?term=1847
SNX9	SNX9	sorting nexin 9	51429	https://www.ncbi.nlm.nih.gov/gene/?term=51429
FGF9	FGF9	fibroblast growth factor 9	2254	https://www.ncbi.nlm.nih.gov/gene/?term=2254
PDE2A	PDE2A	phosphodiesterase 2A	5138	https://www.ncbi.nlm.nih.gov/gene/?term=5138
TNFRSF4	TNFRSF4	TNF receptor superfamily member 4	7293	https://www.ncbi.nlm.nih.gov/gene/?term=7293
HIC1	HIC1	HIC ZBTB transcriptional repressor 1	3090	https://www.ncbi.nlm.nih.gov/gene/?term=3090
SIK3	SIK3	SIK family kinase 3	23387	https://www.ncbi.nlm.nih.gov/gene/?term=23387
ZNF184	ZNF184	zinc finger protein 184	7738	https://www.ncbi.nlm.nih.gov/gene/?term=7738
NDUFS5	NDUFS5	NADH:ubiquinone oxidoreductase subunit S5	4725	https://www.ncbi.nlm.nih.gov/gene/?term=4725
CCNG1	CCNG1	cyclin G1	900	https://www.ncbi.nlm.nih.gov/gene/?term=900
DYNLT1	DYNLT1	dynein light chain Tctex-type 1	6993	https://www.ncbi.nlm.nih.gov/gene/?term=6993
SKIL	SKIL	SKI like proto-oncogene	6498	https://www.ncbi.nlm.nih.gov/gene/?term=6498
ICOSLG	ICOSLG	inducible T cell costimulator ligand	23308	https://www.ncbi.nlm.nih.gov/gene/?term=23308
NUMBL	NUMBL	NUMB like, endocytic adaptor protein	9253	https://www.ncbi.nlm.nih.gov/gene/?term=9253
SNAP47	SNAP47	synaptosome associated protein 47	116841	https://www.ncbi.nlm.nih.gov/gene/?term=116841
POLR1E	POLR1E	RNA polymerase I subunit E	64425	https://www.ncbi.nlm.nih.gov/gene/?term=64425
CD5	CD5	CD5 molecule	921	https://www.ncbi.nlm.nih.gov/gene/?term=921
ZNF10	ZNF10	zinc finger protein 10	7556	https://www.ncbi.nlm.nih.gov/gene/?term=7556
G3BP2	G3BP2	G3BP stress granule assembly factor 2	9908	https://www.ncbi.nlm.nih.gov/gene/?term=9908
PRDM4	PRDM4	PR/SET domain 4	11108	https://www.ncbi.nlm.nih.gov/gene/?term=11108
LRRC41	LRRC41	leucine rich repeat containing 41	10489	https://www.ncbi.nlm.nih.gov/gene/?term=10489
AEN	AEN	apoptosis enhancing nuclease	64782	https://www.ncbi.nlm.nih.gov/gene/?term=64782
WDR48	WDR48	WD repeat domain 48	57599	https://www.ncbi.nlm.nih.gov/gene/?term=57599
THBS1	THBS1	thrombospondin 1	7057	https://www.ncbi.nlm.nih.gov/gene/?term=7057
RUNX3	RUNX3	runt related transcription factor 3	864	https://www.ncbi.nlm.nih.gov/gene/?term=864
SIPA1	SIPA1	signal-induced proliferation-associated 1	6494	https://www.ncbi.nlm.nih.gov/gene/?term=6494
PCNT	PCNT	pericentrin	5116	https://www.ncbi.nlm.nih.gov/gene/?term=5116
YES1	YES1	YES proto-oncogene 1, Src family tyrosine kinase	7525	https://www.ncbi.nlm.nih.gov/gene/?term=7525
NR1I3	NR1I3	nuclear receptor subfamily 1 group I member 3	9970	https://www.ncbi.nlm.nih.gov/gene/?term=9970
CSTF1	CSTF1	cleavage stimulation factor subunit 1	1477	https://www.ncbi.nlm.nih.gov/gene/?term=1477
TXNL4A	TXNL4A	thioredoxin like 4A	10907	https://www.ncbi.nlm.nih.gov/gene/?term=10907
PAQR5	PAQR5	progestin and adipoQ receptor family member 5	54852	https://www.ncbi.nlm.nih.gov/gene/?term=54852
NOP58	NOP58	NOP58 ribonucleoprotein	51602	https://www.ncbi.nlm.nih.gov/gene/?term=51602
NRG4	NRG4	neuregulin 4	145957	https://www.ncbi.nlm.nih.gov/gene/?term=145957
EREG	EREG	epiregulin	2069	https://www.ncbi.nlm.nih.gov/gene/?term=2069
NUDT19	NUDT19	nudix hydrolase 19	390916	https://www.ncbi.nlm.nih.gov/gene/?term=390916
GPR132	GPR132	G protein-coupled receptor 132	29933	https://www.ncbi.nlm.nih.gov/gene/?term=29933
DYNC1H1	DYNC1H1	dynein cytoplasmic 1 heavy chain 1	1778	https://www.ncbi.nlm.nih.gov/gene/?term=1778
DDX6	DDX6	DEAD-box helicase 6	1656	https://www.ncbi.nlm.nih.gov/gene/?term=1656
FASN	FASN	fatty acid synthase	2194	https://www.ncbi.nlm.nih.gov/gene/?term=2194
HNRNPL	HNRNPL	heterogeneous nuclear ribonucleoprotein L	3191	https://www.ncbi.nlm.nih.gov/gene/?term=3191
SREBF2	SREBF2	sterol regulatory element binding transcription factor 2	6721	https://www.ncbi.nlm.nih.gov/gene/?term=6721
JAK1	JAK1	Janus kinase 1	3716	https://www.ncbi.nlm.nih.gov/gene/?term=3716
DHCR7	DHCR7	7-dehydrocholesterol reductase	1717	https://www.ncbi.nlm.nih.gov/gene/?term=1717
NCS1	NCS1	neuronal calcium sensor 1	23413	https://www.ncbi.nlm.nih.gov/gene/?term=23413
GNAO1	GNAO1	G protein subunit alpha o1	2775	https://www.ncbi.nlm.nih.gov/gene/?term=2775
HTR3A	HTR3A	5-hydroxytryptamine receptor 3A	3359	https://www.ncbi.nlm.nih.gov/gene/?term=3359
GCDH	GCDH	glutaryl-CoA dehydrogenase	2639	https://www.ncbi.nlm.nih.gov/gene/?term=2639
CSNK1D	CSNK1D	casein kinase 1 delta	1453	https://www.ncbi.nlm.nih.gov/gene/?term=1453
GFPT1	GFPT1	glutamine--fructose-6-phosphate transaminase 1	2673	https://www.ncbi.nlm.nih.gov/gene/?term=2673
PRDM1	PRDM1	PR/SET domain 1	639	https://www.ncbi.nlm.nih.gov/gene/?term=639
RASGRP1	RASGRP1	RAS guanyl releasing protein 1	10125	https://www.ncbi.nlm.nih.gov/gene/?term=10125
PDE3B	PDE3B	phosphodiesterase 3B	5140	https://www.ncbi.nlm.nih.gov/gene/?term=5140
ENPP3	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3	5169	https://www.ncbi.nlm.nih.gov/gene/?term=5169
BLMH	BLMH	bleomycin hydrolase	642	https://www.ncbi.nlm.nih.gov/gene/?term=642
SMPD2	SMPD2	sphingomyelin phosphodiesterase 2	6610	https://www.ncbi.nlm.nih.gov/gene/?term=6610
EPHA4	EPHA4	EPH receptor A4	2043	https://www.ncbi.nlm.nih.gov/gene/?term=2043
ICAM2	ICAM2	intercellular adhesion molecule 2	3384	https://www.ncbi.nlm.nih.gov/gene/?term=3384
AKAP13	AKAP13	A-kinase anchoring protein 13	11214	https://www.ncbi.nlm.nih.gov/gene/?term=11214
ABCC1	ABCC1	ATP binding cassette subfamily C member 1	4363	https://www.ncbi.nlm.nih.gov/gene/?term=4363
EZR	EZR	ezrin	7430	https://www.ncbi.nlm.nih.gov/gene/?term=7430
SACM1L	SACM1L	SAC1 like phosphatidylinositide phosphatase	22908	https://www.ncbi.nlm.nih.gov/gene/?term=22908
